ICAO,Type,Name,LAT,LON,Elevation,Country,Region
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380356,147.2200012,146,PG,PG-NCD
BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,IS,IS-2
BKPR,large_airport,PriXXtina International Airport,42.5728,21.035801,1789,XK,XK-01
CYEG,large_airport,Edmonton International Airport,53.30970001,-113.5800018,2373,CA,CA-AB
CYHZ,large_airport,Halifax / Stanfield International Airport,44.88079834,-63.50859833,477,CA,CA-NS
CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.32249832,-75.66919708,374,CA,CA-ON
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,118,CA,CA-QC
CYVR,large_airport,Vancouver International Airport,49.19390106,-123.1839981,14,CA,CA-BC
CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,783,CA,CA-MB
CYYC,large_airport,Calgary International Airport,51.11389923,-114.0199966,3557,CA,CA-AB
CYYJ,large_airport,Victoria International Airport,48.64690018,-123.4260025,63,CA,CA-BC
CYYT,large_airport,St. John's International Airport,47.61859894,-52.75189972,461,CA,CA-NL
CYYZ,large_airport,Lester B. Pearson International Airport,43.67720032,-79.63059998,569,CA,CA-ON
DAAG,large_airport,Houari Boumediene Airport,36.691002,3.21541,82,DZ,DZ-16
DFFD,large_airport,Ouagadougou Airport,12.3532,-1.51242,1037,BF,BF-KAD
DGAA,large_airport,Kotoka International Airport,5.6051898,-0.1667860001,205,GH,GH-AA
DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161,7.263169765,1123,NG,NG-FC
DNAI,large_airport,Akwa Ibom International Airport,4.8725,8.093,170,NG,NG-AK
DNKN,large_airport,Mallam Aminu International Airport,12.0476,8.52462,1562,NG,NG-KN
DNMM,large_airport,Murtala Muhammed International Airport,6.577370167,3.321160078,135,NG,NG-LA
DRRN,large_airport,Diori Hamani International Airport,13.4815,2.18361,732,NE,NE-8
DTTA,large_airport,Tunis Carthage International Airport,36.85100174,10.22719955,22,TN,TN-11
EBBR,large_airport,Brussels Airport,50.90140152,4.48443985,184,BE,BE-BRU
EBCI,large_airport,Brussels South Charleroi Airport,50.459202,4.45382,614,BE,BE-WHT
EBLG,large_airport,LiXXge Airport,50.63740158,5.443220139,659,BE,BE-WLG
EDDB,large_airport,Berlin Brandenburg Airport,52.351389,13.493889,157,DE,DE-BR
EDDC,large_airport,Dresden Airport,51.13280106,13.76720047,755,DE,DE-SN
EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364,DE,DE-HE
EDDG,large_airport,MXXnster OsnabrXXck Airport,52.13460159,7.684830189,160,DE,DE-NW
EDDH,large_airport,Hamburg Airport,53.63040161,9.988229752,53,DE,DE-HH
EDDK,large_airport,Cologne Bonn Airport,50.86589813,7.142739773,302,DE,DE-NW
EDDL,large_airport,DXXsseldorf Airport,51.289501,6.76678,147,DE,DE-NW
